127.0.0.1 - - [10/Feb/2023:09:38:59 +0900] "GET / HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:31 +0900] "GET /staffMyPage/member_list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /member/login HTTP/1.1" 200 8165
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /css/flaticon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /css/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /css/jquery.timepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /css/bootstrap-datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /js/jquery.stellar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /js/jquery-migrate-3.0.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /js/jquery.animateNumber.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /images/kakao_login_medium_wide.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /js/bootstrap-datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /js/jquery.timepicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /js/scrollax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /fonts/flaticon/font/Flaticon.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:32 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:34 +0900] "POST /login_go HTTP/1.1" 200 40107
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:34 +0900] "GET /css/anymore.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:34 +0900] "GET /images/popup.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:37 +0900] "GET /logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:37 +0900] "GET /index HTTP/1.1" 200 39935
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:38 +0900] "GET /member/login HTTP/1.1" 200 8165
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:39 +0900] "POST /login_go HTTP/1.1" 200 40107
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:54 +0900] "GET /anymoremall/cart HTTP/1.1" 200 19314
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:54 +0900] "GET /images/cat-bg.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:39:59 +0900] "GET /anymoremall/import2 HTTP/1.1" 200 18781
0:0:0:0:0:0:0:1 - - [10/Feb/2023:09:40:27 +0900] "POST /anymoremall/import HTTP/1.1" 405 802
